og,rank,moment_component,m1_weighted_squared_error,m2_weighted_squared_error,moment_integer_squared_error,native_tap,native_weighted_squared_error
2,0,2,3.044877256336492e-06,4.226669074077503e-07,1056711,2,7.89629967185316e-07
2,1,2,2.2651520799483506e-06,5.37378072414333e-07,1133232,1,5.652210599491867e-07
2,2,2,3.2497566749249684e-06,5.98203579845942e-07,1220961,0,1.008515152917322e-06
2,3,2,2.6643553855891975e-06,6.349425013705057e-07,1215792,1,7.518188337537705e-07
2,4,2,3.6050141453857064e-06,1.0941126240008727e-06,1654421,1,8.268287083646667e-07
2,5,2,1.927406344896213e-06,4.2524207426104673e-07,817912,1,5.65310567857904e-07
2,6,2,7.381958842575686e-07,9.206746579714997e-08,269913,1,3.5727372178401006e-07
2,7,2,4.149048582636086e-06,5.956104128864009e-07,877116,2,1.3516854690810499e-06
2,8,2,2.190949086916035e-06,2.9651366451808135e-07,563798,2,6.912210333078839e-07
2,9,2,5.270673234918954e-07,1.8767002642054802e-07,419660,1,1.341697114560992e-07
2,10,2,1.7229586722638294e-06,6.950319078518794e-07,775491,1,3.073488444719753e-07
2,11,2,1.138604323465851e-06,2.808477202779802e-07,464681,1,3.286862423763447e-07
2,12,2,1.052442170291259e-06,8.490895473487626e-08,191002,0,2.6795178497393063e-07
2,13,2,1.7031106345602774e-06,2.4568823508258426e-07,350841,0,5.20551718382154e-07
2,14,2,8.458781293416698e-07,1.9817844225750305e-07,314510,1,2.4926115824519705e-07
2,15,2,1.0849067780283457e-06,1.534266597098634e-07,346164,2,2.062330825413364e-07
3,0,2,2.3404273480265233e-06,3.9570601747245004e-07,746840,1,8.616267044801493e-07
3,1,2,1.0544545477533711e-05,1.6331904125230363e-06,1890649,2,2.2576924647986383e-06
3,2,2,2.830308580681726e-06,7.27596033581415e-07,1240792,1,7.95237101078293e-07
3,3,2,5.662048195905718e-07,2.1054217308719677e-07,340054,1,2.0037092884514781e-07
3,4,2,4.362203624463977e-06,7.105386648452967e-07,850817,1,1.4451829723057402e-06
3,5,2,2.1990787822802368e-06,3.001880468924962e-07,424606,1,7.400550983035099e-07
3,6,2,1.472597803782097e-06,2.496853534713061e-07,254492,1,4.84824898504602e-07
3,7,2,1.859062794577313e-06,2.4251820240498516e-07,489358,0,5.851603638709132e-07
3,8,2,1.0035777797608355e-06,3.7811484626514534e-07,453262,1,2.1666770442068765e-07
3,9,2,1.1448784639225135e-06,1.0307729147538969e-07,164915,2,3.895369006308755e-07
3,10,2,5.474544996378174e-07,1.107159736237675e-07,171819,2,2.5800795448858894e-07
3,11,2,1.4431997751680498e-06,2.2411383241613256e-07,245247,2,3.85458523862937e-07
3,12,2,1.1949978189375212e-06,1.9280556199326944e-07,221423,1,3.888425338220788e-07
3,13,2,1.6787977961814605e-06,2.374686984676579e-07,261348,2,4.138459043041803e-07
3,14,2,2.513209744333079e-07,1.1654376782466324e-08,15552,0,6.675159284490422e-08
3,15,2,8.126262523344613e-07,1.56716852918739e-07,154803,2,2.1738260090180963e-07
4,0,2,2.1692653911765416e-06,3.2304165823512697e-07,563819,2,6.986513778505614e-07
4,1,2,5.959345789328017e-06,2.034927366894586e-06,2414671,1,1.1354975202728698e-06
4,2,2,1.044417205051789e-06,3.0424414176695373e-07,777922,1,3.827788976310227e-07
4,3,2,1.2402667527947777e-06,4.473116670822618e-07,726900,1,3.230593820838685e-07
4,4,2,2.609864520507313e-06,1.0833068091019927e-07,271132,2,6.99720912078281e-07
4,5,2,8.473006826766801e-07,7.20834183431872e-08,168405,0,2.63883549777761e-07
4,6,2,1.275036535430151e-06,3.068786158260472e-07,396728,2,1.6574605217898511e-07
4,7,2,1.6860797473111243e-06,2.1585097831003642e-07,275795,2,5.806200708734593e-07
4,8,2,1.845322544983785e-06,2.511620587668918e-07,546095,0,5.968966599840581e-07
4,9,2,1.2773406102862651e-06,3.777551698983462e-07,1052367,1,2.834255535488756e-07
4,10,2,3.7241939061332285e-06,4.22140869866085e-07,615135,0,1.1021868759344833e-06
4,11,2,7.228606251129596e-07,1.1231663636795777e-07,265246,1,4.297331264628687e-07
4,12,2,7.616179033430153e-07,1.1139804048280512e-07,242773,2,2.0360040278134933e-07
4,13,2,8.325872356580489e-07,2.7184539816970186e-07,448779,1,1.8705352487197007e-07
4,14,2,4.682654461701253e-07,8.975782260305876e-08,140269,1,1.5989978683244322e-07
4,15,2,1.1342250705274751e-06,4.965409803834421e-07,578034,1,3.146947108632888e-07
5,0,2,1.3514322551110002e-06,2.7456251640532063e-07,592777,1,4.172422541640687e-07
5,1,2,4.717918054718327e-06,9.845443125382554e-07,1273093,1,1.071299633599455e-06
5,2,2,1.8337957427817696e-06,6.349942904510538e-07,1086406,1,5.344785710446763e-07
5,3,2,5.116090748126121e-06,1.280880649057867e-06,1758445,1,1.3477283273794335e-06
5,4,2,5.205810456705287e-06,5.558459841230415e-07,781601,0,1.5499881953265092e-06
5,5,2,2.1809259368014827e-06,1.1505065132396418e-07,173623,2,4.823650709989232e-07
5,6,2,2.4940846692709868e-06,7.114802820957504e-07,1020366,1,7.176931462684301e-07
5,7,2,5.139857235717548e-07,1.481073902806786e-07,201205,1,2.1009933405327663e-07
5,8,2,2.24173975141179e-06,1.7760391352417216e-07,225086,2,7.092422852038575e-07
5,9,2,9.372878265442693e-07,2.265416657151322e-07,321367,1,3.5504815634290485e-07
5,10,2,1.4476926383003864e-06,1.2479956807791335e-07,134377,2,2.341280396699463e-07
5,11,2,1.8437731801305724e-06,3.2287829513756816e-07,411648,1,7.070977326785722e-07
5,12,2,4.314020357908431e-07,7.97476377423439e-08,111235,0,1.9007896141436178e-07
5,13,2,1.102968661942363e-06,2.0620616396923372e-07,245589,2,4.0620312184876684e-07
5,14,2,1.1106539577176673e-06,1.5038765362823295e-07,209568,0,3.4539149275839726e-07
5,15,2,2.1761900584270297e-06,1.0258822046810074e-07,123562,0,5.558263099953349e-07
6,0,2,3.390808487065019e-06,3.050610438824535e-07,574692,2,1.0177430199760343e-06
6,1,2,9.717955462453119e-06,1.8517117194678398e-06,1700975,1,2.452594242067725e-06
6,2,2,2.0888822332941947e-06,5.773500094455694e-07,1136887,1,6.32325491069034e-07
6,3,2,2.090609097095337e-06,8.296449312867807e-07,911549,1,6.347879803023142e-07
6,4,2,4.106903407091639e-06,4.7562786713739057e-07,525577,0,1.145612864955069e-06
6,5,2,1.504173123908215e-06,6.710288954045937e-08,111159,0,3.948183181859726e-07
6,6,2,2.5907309965941883e-06,3.4226059904553474e-07,576292,1,8.629740304756845e-07
6,7,2,6.399066585975891e-07,1.9435847816259288e-07,306964,1,1.9450170563106495e-07
6,8,2,1.3899423273636346e-06,1.582491027033234e-07,195096,0,3.9231119694028333e-07
6,9,2,3.892793678746316e-07,5.129621831341386e-08,85162,1,1.404625808258129e-07
6,10,2,1.7602318501944443e-06,2.5676726562658327e-07,528220,1,5.55620359382891e-07
6,11,2,5.901818078434936e-07,1.517887961089605e-07,275456,1,2.1068406877234303e-07
6,12,2,1.5006698664133072e-06,2.677525877498484e-07,428715,0,2.839893671180261e-07
6,13,2,1.6991782708011485e-06,3.0126072438886215e-07,610196,1,5.405069360681376e-07
6,14,2,9.55920525941523e-07,9.709235590448326e-08,141925,0,2.9321812178689857e-07
6,15,2,4.988623699876245e-07,1.9058056710811144e-07,265170,1,2.2768874567519344e-07
7,0,2,1.7332081533556357e-06,2.2321112445751828e-07,554572,2,5.788279636388131e-07
7,1,2,4.546227400426955e-06,8.129815670154798e-07,1189868,1,1.3793641893560502e-06
7,2,2,3.1328997965930287e-06,4.849123985792375e-07,849980,1,9.429903141264902e-07
7,3,2,2.66694363105191e-06,6.489483225084309e-07,1088499,1,6.739733903521201e-07
7,4,2,2.641155821050683e-06,6.671415650349482e-07,953588,1,7.702353582542424e-07
7,5,2,2.6965586865585873e-06,4.407820064892366e-07,608606,0,7.811659849242767e-07
7,6,2,2.6775324039361363e-06,7.084003026242004e-07,857515,1,5.14785433317218e-07
7,7,2,1.7345735410680944e-06,2.0197759952195304e-07,327411,0,5.68404949612309e-07
7,8,2,1.0485653313489756e-06,2.3018440625840006e-07,607321,1,2.435029808122669e-07
7,9,2,5.593185710396801e-07,1.7987951059801965e-07,253845,1,2.2218939854798624e-07
7,10,2,1.5747556795989484e-06,2.652595359966447e-07,424326,2,5.484215600539968e-07
7,11,2,1.1644309675971777e-06,2.781958163924563e-07,443052,1,4.04685188200774e-07
7,12,2,1.978929043957334e-06,1.9033560779470941e-07,281231,0,5.428649533174145e-07
7,13,2,1.286016926460754e-06,1.9748059875357558e-07,309820,1,4.298950690545374e-07
7,14,2,1.2748758760973182e-07,5.58839379244395e-08,108026,0,5.626392878422572e-08
7,15,2,9.57164492107473e-07,4.303847962770576e-07,700352,1,3.754676300712258e-07
8,0,2,1.0724275060506034e-06,2.6243784481263094e-07,454352,2,3.2437180188233284e-07
8,1,2,7.53352897145485e-06,1.2107323313452345e-06,1326312,1,2.2662555953056567e-06
8,2,2,2.0344495780130833e-06,3.4302459217419533e-07,545132,1,6.18236321213967e-07
8,3,2,1.227971667283366e-06,1.6793001074339998e-07,338022,1,5.012305950780197e-07
8,4,2,2.579527173639917e-06,4.666572481367368e-07,599020,0,6.175786592391275e-07
8,5,2,2.053195164710345e-06,2.1316729619308257e-07,383104,0,6.872250652446885e-07
8,6,2,1.806515524084718e-06,2.264609409744401e-07,465704,0,5.937380163215232e-07
8,7,2,2.6937194659282235e-06,5.819279011610599e-07,760178,1,6.516932443019539e-07
8,8,2,5.874691526439617e-07,1.8547648587428978e-07,174670,1,2.369447857993632e-07
8,9,2,1.6361172949647927e-06,2.762697939853777e-07,256784,1,5.607486527851107e-07
8,10,2,3.5189187216046993e-06,4.2784494239266164e-07,672823,2,1.1404573876728947e-06
8,11,2,8.048975548064995e-07,2.669609902392773e-07,243404,1,1.9744789387220755e-07
8,12,2,8.369745684519705e-07,1.0263034966540422e-07,78903,0,1.924507347443415e-07
8,13,2,2.024752111585798e-06,2.301982746500755e-07,317008,2,6.337299650520442e-07
8,14,2,7.210484863643462e-07,2.0523443029871646e-07,225266,0,2.997783445713379e-07
8,15,2,1.1856547442829603e-06,6.729181185420291e-07,832812,1,5.641734353544321e-07
9,0,2,1.7539717273805186e-06,2.1480059121619612e-07,378306,2,5.96488235421753e-07
9,1,2,1.3813491355477312e-06,2.3405512310847407e-07,425582,0,4.874504489643189e-07
9,2,2,3.854403283242725e-06,5.129092845689492e-07,1161348,2,9.308601592418402e-07
9,3,2,5.767921474823959e-06,1.1057469687954308e-06,1571195,2,1.8253726457038703e-06
9,4,2,5.287361205320228e-07,4.159229821530952e-07,729037,1,1.4416402132633375e-07
9,5,2,2.4897138491274274e-06,3.7431294553109295e-07,849359,2,7.992138089122321e-07
9,6,2,1.0159474822572394e-06,2.9178109817768247e-07,466252,1,2.179096360615517e-07
9,7,2,1.4539608082017536e-06,1.1252713495944159e-07,185236,0,4.961664493867712e-07
9,8,2,1.2899398280049308e-06,2.685413519628824e-07,371632,2,2.416562655968267e-07
9,9,2,6.137532073715338e-07,2.7167131839563947e-07,627330,1,1.8889731814029726e-07
9,10,2,2.0985327202053974e-06,5.193445738252747e-07,949674,1,5.991215682783465e-07
9,11,2,1.0016014755505077e-06,2.5565984490055253e-07,596462,1,4.5406463494807414e-07
9,12,2,3.287815200501579e-06,3.7099537949046283e-07,830465,0,8.228583736069657e-07
9,13,2,2.047380357113769e-06,2.3503370348176708e-07,383129,0,6.511059786852484e-07
9,14,2,6.913603289264918e-07,2.0878760344754324e-07,398065,2,2.3022612029543146e-07
9,15,2,5.999381398834036e-07,1.3064256158377692e-07,330807,0,2.0042584682508457e-07
10,0,2,2.4621614900354616e-06,2.5963196718219657e-07,659091,2,9.019821587857078e-07
10,1,2,2.071895566927413e-06,8.48439020277407e-07,1961586,1,4.701668265293468e-07
10,2,2,1.766490384584965e-06,1.2154259750363958e-07,237556,0,5.913549008350622e-07
10,3,2,4.810834498604187e-06,6.931818730177523e-07,1067567,2,1.2298838444405585e-06
10,4,2,3.0174842840090705e-06,8.241194997353588e-07,1443856,1,6.161372425917902e-07
10,5,2,3.074113774018114e-06,3.3555043249227426e-07,640712,2,9.58505054080483e-07
10,6,2,1.4916536752982765e-06,1.8963842056565e-07,526295,0,4.849379926638652e-07
10,7,2,8.809577563129107e-07,1.7401345066939098e-07,440039,1,2.438216795802386e-07
10,8,2,1.377898745195204e-06,2.0994038039081072e-07,460840,2,4.1608600793290137e-07
10,9,2,3.9504603052312604e-07,1.0664663861926962e-07,219612,1,1.1660620077302359e-07
10,10,2,2.4973750951584227e-06,2.389887714111779e-07,527455,2,8.325241398790082e-07
10,11,2,1.8039694525988772e-06,2.175862543843194e-07,568742,2,4.4841460437929855e-07
10,12,2,8.734111614557258e-07,8.352651806543004e-08,177053,0,2.182569317224536e-07
10,13,2,1.7390803036045577e-06,3.1346353169140017e-07,587718,2,6.701578164376529e-07
10,14,2,1.2728633810313323e-06,2.501387730046881e-07,486695,2,4.416826216888642e-07
10,15,2,5.575845327912497e-07,2.1778973770089763e-07,470014,1,2.3598109289955602e-07
11,0,2,3.020820821541011e-06,2.1003400592789154e-07,332996,2,6.706942870376179e-07
11,1,2,1.5479951262875498e-06,1.7765990092263397e-07,418547,2,5.634967916907643e-07
11,2,2,2.9318895277733073e-06,4.6129745367739534e-07,731227,2,1.037137181641299e-06
11,3,2,5.471198829463277e-06,8.018528043651087e-07,1087539,2,1.2504580280982257e-06
11,4,2,7.0799150844124185e-06,9.783501177771381e-07,1536067,0,2.333126659731906e-06
11,5,2,3.5626687094956303e-07,7.397713322182139e-08,129882,2,1.5553260127101002e-07
11,6,2,2.121692417880718e-06,2.7238966009125256e-07,464233,2,5.557271698754599e-07
11,7,2,1.5887100033537465e-06,1.1841381491335922e-07,183491,0,4.271390022156242e-07
11,8,2,8.243463024895039e-07,8.06719636206195e-08,106336,2,2.0491466500527948e-07
11,9,2,9.589935198634215e-07,1.7138243295632063e-07,215133,2,2.429868644049346e-07
11,10,2,2.50384437495613e-06,3.640735764708437e-07,503258,2,7.907076612421323e-07
11,11,2,1.1425383793060936e-06,3.117832507420281e-07,376226,0,5.1367632819002e-07
11,12,2,4.5043812356578537e-07,4.4889739878231904e-08,77036,1,1.9195843891698027e-07
11,13,2,4.2610120367332e-07,6.788365567481743e-08,111235,0,1.4806984900421426e-07
11,14,2,6.316385964264536e-07,1.1185299935849039e-07,159746,2,1.953456659698301e-07
11,15,2,1.0204162078866991e-06,1.059671904622219e-07,146055,2,2.0978859363088952e-07
