=== T45c-2：两条独立管线对表 ===
A = m2041 spike_profile（825 样本，480×640，T=10，no_running BN）
B = operator_runtime 逐算子 hook（40 样本，input_activity）
C = unified_ordered_records 逐样本 active/elements（40 样本；B 缺记录时用它顶）
可比的脉冲输入算子 81 个；A vs B/C 相对差 ≤5% 的 78 个（≤1% 的 44 个）
op                                                          A_prof   B/C_cap      rel    src
patch_embed.residual_encoding.resblocks.1.conv2.0          0.03235   0.03271   +1.12%      B
layers.2.swin_blocks.3.attn.linear_q                       0.01319   0.01305   -1.10%      B
layers.2.swin_blocks.3.attn.linear_k                       0.01319   0.01305   -1.10%      B
layers.2.swin_blocks.2.mlp.fc2                             0.02630   0.02601   -1.07%      B
layers.2.downsample.reduction                              0.20522   0.20736   +1.05%      B
layers.3.swin_blocks.1.mlp.fc1                             0.08403   0.08488   +1.02%      B
patch_embed.residual_encoding.resblocks.0.conv1.0          0.04374   0.04415   +0.93%      B
layers.0.swin_blocks.0.attn.proj                           0.02762   0.02736   -0.92%      B
layers.2.swin_blocks.4.mlp.fc2                             0.03006   0.03033   +0.89%      B
layers.2.swin_blocks.3.mlp.fc1                             0.16073   0.16216   +0.89%      B
layers.2.swin_blocks.2.attn.linear_q                       0.06441   0.06497   +0.86%      B
layers.2.swin_blocks.2.attn.linear_k                       0.06441   0.06497   +0.86%      B
layers.1.swin_blocks.0.mlp.fc2                             0.04286   0.04253   -0.78%      B
layers.3.swin_blocks.0.mlp.fc2                             0.04902   0.04936   +0.70%      B
resblocks.0.conv1.0                                        0.12616   0.12704   +0.70%      B
layers.2.swin_blocks.5.mlp.fc1                             0.16580   0.16691   +0.67%      B
layers.2.swin_blocks.1.mlp.fc1                             0.08180   0.08126   -0.67%      B
layers.0.swin_blocks.0.mlp.fc2                             0.03416   0.03395   -0.61%      B
layers.2.swin_blocks.0.attn.proj                           0.02834   0.02817   -0.60%      B
resblocks.1.conv2.0                                        0.07613   0.07568   -0.60%      B
layers.3.swin_blocks.1.mlp.fc2                             0.03148   0.03166   +0.58%      B
layers.2.swin_blocks.4.attn.proj                           0.05224   0.05194   -0.57%      B
layers.1.downsample.reduction                              0.09667   0.09716   +0.51%      B
layers.3.swin_blocks.0.attn.linear_q                       0.04123   0.04144   +0.50%      B
layers.3.swin_blocks.0.attn.linear_k                       0.04123   0.04144   +0.50%      B
decoders.0.deconv.0                                        0.12987   0.12923   -0.49%      C
layers.3.swin_blocks.1.attn.linear_q                       0.08791   0.08830   +0.45%      B
layers.3.swin_blocks.1.attn.linear_k                       0.08791   0.08830   +0.45%      B
layers.0.downsample.reduction                              0.20148   0.20058   -0.44%      B
layers.2.swin_blocks.3.mlp.fc2                             0.02621   0.02632   +0.44%      B
decoders.3.deconv.0                                        0.25972   0.26086   +0.44%      C
preds.0.conv.0                                             0.08899   0.08934   +0.39%      B
layers.2.swin_blocks.2.mlp.fc1                             0.11041   0.11083   +0.38%      B
layers.3.swin_blocks.0.attn.proj                           0.02938   0.02927   -0.36%      B
layers.2.swin_blocks.4.mlp.fc1                             0.13993   0.14042   +0.35%      B
layers.3.swin_blocks.1.attn.proj                           0.06064   0.06044   -0.32%      B
decoders.1.deconv.0                                        0.15008   0.15053   +0.30%      C
layers.2.swin_blocks.4.attn.linear_q                       0.10026   0.09997   -0.29%      B
layers.2.swin_blocks.4.attn.linear_k                       0.10026   0.09997   -0.29%      B
layers.2.swin_blocks.1.attn.linear_q                       0.06926   0.06906   -0.29%      B
layers.2.swin_blocks.1.attn.linear_k                       0.06926   0.06906   -0.29%      B
decoders.2.deconv.0                                        0.15419   0.15462   +0.28%      C
preds.1.conv.0                                             0.12347   0.12368   +0.17%      B
preds.3.conv.0                                             0.07619   0.07630   +0.15%      B
layers.3.swin_blocks.0.mlp.fc1                             0.07479   0.07469   -0.14%      B
resblocks.1.conv1.0                                        0.14346   0.14358   +0.08%      B
preds.2.conv.0                                             0.15668   0.15659   -0.06%      B
layers.2.swin_blocks.5.attn.proj                           0.08575   0.08571   -0.05%      B
layers.2.swin_blocks.5.attn.linear_q                       0.14143   0.14144   +0.01%      B
layers.2.swin_blocks.5.attn.linear_k                       0.14143   0.14144   +0.01%      B

连续输入（不可比）与捕获缺 B 记录的算子：
  patch_embed.head.conv.0                                  A  1.00000  B 0.26506  C 0.26506
  patch_embed.proj.conv_res                                A  0.03235  B 1.00000  C 1.00000

=== T45c-3：操作数宽度（bulk = mean_abs/(max·density)；≈1 ⇒ 0/θ 脉冲）===
op                                                            dens        max     bulk    operand
patch_embed.head.conv.0                                     0.3458     0.8426   0.0242  multi_bit
patch_embed.proj.conv_res                                   1.0000    15.4183   0.0895  multi_bit
layers.0.swin_blocks.0.attn.proj                            0.0257     0.8789   0.9803   boundary
layers.0.swin_blocks.1.attn.proj                            0.0032     0.8789   0.9833   boundary
layers.1.swin_blocks.1.attn.proj                            0.0057     0.8789   0.9782   boundary
layers.2.swin_blocks.0.attn.proj                            0.0275     0.8789   0.9598   boundary
layers.2.swin_blocks.1.attn.proj                            0.0392     0.8789   0.9785   boundary
layers.2.swin_blocks.2.attn.proj                            0.0300     0.8789   0.9567   boundary
layers.2.swin_blocks.4.attn.proj                            0.0514     0.8789   0.9582   boundary
layers.2.swin_blocks.5.attn.proj                            0.0860     0.8789   0.9581   boundary
layers.3.swin_blocks.0.attn.proj                            0.0276     0.8789   0.9563   boundary
layers.3.swin_blocks.1.attn.proj                            0.0594     0.8789   0.9569   boundary
layers.0.downsample.reduction                               0.1912     1.0000   1.0000   binary01
layers.0.swin_blocks.0.attn.linear_k                        0.1166     1.0000   1.0000   binary01
layers.0.swin_blocks.0.attn.linear_q                        0.1166     1.0000   1.0000   binary01
layers.0.swin_blocks.0.mlp.fc1                              0.1748     1.0000   1.0000   binary01
layers.0.swin_blocks.0.mlp.fc2                              0.0335     1.0000   1.0000   binary01
layers.0.swin_blocks.1.attn.linear_k                        0.0580     1.0000   1.0000   binary01
layers.0.swin_blocks.1.attn.linear_q                        0.0580     1.0000   1.0000   binary01
layers.0.swin_blocks.1.mlp.fc1                              0.1534     1.0000   1.0000   binary01
layers.0.swin_blocks.1.mlp.fc2                              0.0180     1.0000   1.0000   binary01
layers.1.downsample.reduction                               0.1049     1.0000   1.0000   binary01
layers.1.swin_blocks.0.attn.linear_k                        0.0013     1.0000   1.0000   binary01
layers.1.swin_blocks.0.attn.linear_q                        0.0013     1.0000   1.0000   binary01
layers.1.swin_blocks.0.attn.proj                            0.0000     0.0000        —      empty
layers.1.swin_blocks.0.mlp.fc1                              0.0532     1.0000   1.0000   binary01
layers.1.swin_blocks.0.mlp.fc2                              0.0428     1.0000   1.0000   binary01
layers.1.swin_blocks.1.attn.linear_k                        0.0053     1.0000   1.0000   binary01
layers.1.swin_blocks.1.attn.linear_q                        0.0053     1.0000   1.0000   binary01
layers.1.swin_blocks.1.mlp.fc1                              0.0666     1.0000   1.0000   binary01
layers.1.swin_blocks.1.mlp.fc2                              0.0323     1.0000   1.0000   binary01
layers.2.downsample.reduction                               0.2125     1.0000   1.0000   binary01
layers.2.swin_blocks.0.attn.linear_k                        0.0129     1.0000   1.0000   binary01
layers.2.swin_blocks.0.attn.linear_q                        0.0129     1.0000   1.0000   binary01
layers.2.swin_blocks.0.mlp.fc1                              0.1108     1.0000   1.0000   binary01
layers.2.swin_blocks.0.mlp.fc2                              0.0668     1.0000   1.0000   binary01
layers.2.swin_blocks.1.attn.linear_k                        0.0706     1.0000   1.0000   binary01
layers.2.swin_blocks.1.attn.linear_q                        0.0706     1.0000   1.0000   binary01
layers.2.swin_blocks.1.mlp.fc1                              0.0833     1.0000   1.0000   binary01
layers.2.swin_blocks.1.mlp.fc2                              0.0159     1.0000   1.0000   binary01
layers.2.swin_blocks.2.attn.linear_k                        0.0673     1.0000   1.0000   binary01
layers.2.swin_blocks.2.attn.linear_q                        0.0673     1.0000   1.0000   binary01
layers.2.swin_blocks.2.mlp.fc1                              0.1139     1.0000   1.0000   binary01
layers.2.swin_blocks.2.mlp.fc2                              0.0255     1.0000   1.0000   binary01
layers.2.swin_blocks.3.attn.linear_k                        0.0134     1.0000   1.0000   binary01
layers.2.swin_blocks.3.attn.linear_q                        0.0134     1.0000   1.0000   binary01
layers.2.swin_blocks.3.attn.proj                            0.0000     0.8789   0.9965   binary01
layers.2.swin_blocks.3.mlp.fc1                              0.1656     1.0000   1.0000   binary01
layers.2.swin_blocks.3.mlp.fc2                              0.0266     1.0000   1.0000   binary01
layers.2.swin_blocks.4.attn.linear_k                        0.1003     1.0000   1.0000   binary01
layers.2.swin_blocks.4.attn.linear_q                        0.1003     1.0000   1.0000   binary01
layers.2.swin_blocks.4.mlp.fc1                              0.1446     1.0000   1.0000   binary01
layers.2.swin_blocks.4.mlp.fc2                              0.0281     1.0000   1.0000   binary01
layers.2.swin_blocks.5.attn.linear_k                        0.1422     1.0000   1.0000   binary01
layers.2.swin_blocks.5.attn.linear_q                        0.1422     1.0000   1.0000   binary01
layers.2.swin_blocks.5.mlp.fc1                              0.1710     1.0000   1.0000   binary01
layers.2.swin_blocks.5.mlp.fc2                              0.0253     1.0000   1.0000   binary01
layers.3.swin_blocks.0.attn.linear_k                        0.0437     1.0000   1.0000   binary01
layers.3.swin_blocks.0.attn.linear_q                        0.0437     1.0000   1.0000   binary01
layers.3.swin_blocks.0.mlp.fc1                              0.0732     1.0000   1.0000   binary01
layers.3.swin_blocks.0.mlp.fc2                              0.0502     1.0000   1.0000   binary01
layers.3.swin_blocks.1.attn.linear_k                        0.0909     1.0000   1.0000   binary01
layers.3.swin_blocks.1.attn.linear_q                        0.0909     1.0000   1.0000   binary01
layers.3.swin_blocks.1.mlp.fc1                              0.0860     1.0000   1.0000   binary01
layers.3.swin_blocks.1.mlp.fc2                              0.0310     1.0000   1.0000   binary01
patch_embed.conv.conv.0                                     0.0984     1.0000   1.0000   binary01
patch_embed.proj.conv                                       0.0618     1.0000   1.0000   binary01
patch_embed.residual_encoding.resblocks.0.conv1.0           0.0435     1.0000   1.0000   binary01
patch_embed.residual_encoding.resblocks.0.conv2.0           0.0433     1.0000   1.0000   binary01
patch_embed.residual_encoding.resblocks.1.conv1.0           0.0578     1.0000   1.0000   binary01
patch_embed.residual_encoding.resblocks.1.conv2.0           0.0342     1.0000   1.0000   binary01
preds.0.conv.0                                              0.0774     1.0000   1.0000   binary01
preds.1.conv.0                                              0.1076     1.0000   1.0000   binary01
preds.2.conv.0                                              0.1412     1.0000   1.0000   binary01
preds.3.conv.0                                              0.0658     1.0000   1.0000   binary01
resblocks.0.conv1.0                                         0.1299     0.9999   1.0000   binary01
resblocks.0.conv2.0                                         0.0587     0.9999   1.0000   binary01
resblocks.1.conv1.0                                         0.1465     0.9999   1.0000   binary01
resblocks.1.conv2.0                                         0.0753     0.9999   1.0000   binary01

真多比特（bulk<0.90）2 个：encoders.swin3d.patch_embed.head.conv.0, encoders.swin3d.patch_embed.proj.conv_res
  ⇒ 2.4730G / 55.856G = **4.43%**
浅分布边界带（0.90≤bulk<0.99）10 个：encoders.swin3d.layers.0.swin_blocks.0.attn.proj, encoders.swin3d.layers.0.swin_blocks.1.attn.proj, encoders.swin3d.layers.1.swin_blocks.1.attn.proj, encoders.swin3d.layers.2.swin_blocks.0.attn.proj, encoders.swin3d.layers.2.swin_blocks.1.attn.proj, encoders.swin3d.layers.2.swin_blocks.2.attn.proj, encoders.swin3d.layers.2.swin_blocks.4.attn.proj, encoders.swin3d.layers.2.swin_blocks.5.attn.proj, encoders.swin3d.layers.3.swin_blocks.0.attn.proj, encoders.swin3d.layers.3.swin_blocks.1.attn.proj
  ⇒ 0.7804G / 55.856G = 1.40%（即使全算多比特也只到 5.82%）
  ⇒ C1 的可作用面（多比特操作数）合计 ≤ 5.82%：其中 2.4730G（=多比特的 100%）
     全在 frontend 的两个**连续输入**算子上（head.conv 0.7035G + proj.conv_res 1.7695G），
     它们不是"被逐位送达的脉冲"，C1 的位平面证书在结构上不适用；
     剩下的 0.7804G 是 encoder attn.proj 的浅分布（bulk 0.96–0.98，约 2–4% 的摊开）。

=== 口径 B + frontend 三处修正后的成本分布 ===
supergroup                SOP(G)    SOP% | 其中多比特操作数
encoder.swin3d            17.856  31.97% | 0.0000G (0.00%)
frontend.patch_embed      16.288  29.16% | 2.4730G (15.18%)
decoder                   15.291  27.38% | 0.0000G (0.00%)
bottleneck.resblocks       6.400  11.46% | 0.0000G (0.00%)
pred                       0.020   0.04% | 0.0000G (0.00%)

三处 frontend 修正（T45b → 捕获实测）：
  head.conv      r 1.00000 → 0.26506   -1.9507G
  proj.conv      r 0.03235 → 0.05639   +0.3829G
  proj.conv_res  r 0.03235 → 1.00000   +1.7122G

wrote results/t45c2_density_operand_width.json
