case	real	time	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_time	1	1	0	1	7088	7081	288	2672	75	654	9632	7156	41	838	0	42	17	2304	2	4	3	3	2	1
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_time	1	1	1	0	2615	2608	288	2672	75	654	9632	7156	0	0	0	0	2	2304	2	4	4	4	1	1
v006_zurich_city_02_c_0011_s2b2_p324_h519_1252_packed_time	1	1	1	1	7068	7061	288	2672	75	654	9632	7156	42	908	0	25	3	2304	2	4	3	4	1	0
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_class	1	0	0	0	2791	2784	288	2946	61	725	8897	6328	0	0	0	0	9	2656	2	4	4	4	0	3
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_class	1	0	0	1	7705	7698	288	2946	61	725	8897	6328	34	962	0	36	13	2656	2	4	3	3	0	3
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_class	1	0	1	0	2790	2783	288	2946	61	725	8897	6328	0	0	0	0	9	2656	2	4	4	4	0	2
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_class	1	0	1	1	7716	7709	288	2946	61	725	8897	6328	36	1005	0	31	10	2656	2	4	3	4	0	2
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_time	1	1	0	0	2759	2752	288	2946	61	725	10909	7076	0	0	3	0	10	2400	2	4	4	4	0	3
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_time	1	1	0	1	7675	7668	288	2946	61	725	10909	7076	26	935	0	30	16	2400	2	4	3	2	0	3
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_time	1	1	1	0	2755	2748	288	2946	61	725	10909	7076	0	0	0	0	9	2400	2	4	4	4	0	2
v006_zurich_city_02_c_0011_s2b3_p464_h730_1463_packed_time	1	1	1	1	7722	7715	288	2946	61	725	10909	7076	45	979	0	31	11	2400	2	4	3	3	0	2
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_class	1	0	0	0	2718	2711	288	2852	32	707	7382	5758	0	0	0	0	6	2560	2	4	4	4	2	2
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_class	1	0	0	1	7471	7464	288	2852	32	707	7382	5758	45	974	0	66	16	2560	2	4	3	3	0	4
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_class	1	0	1	0	2714	2707	288	2852	32	707	7382	5758	0	0	0	0	4	2560	2	4	4	4	0	3
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_class	1	0	1	1	7495	7488	288	2852	32	707	7382	5758	36	1026	0	61	7	2560	2	4	4	4	3	0
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_time	1	1	0	0	2691	2684	288	2852	32	707	11659	8039	0	0	0	0	8	2304	2	4	4	4	1	2
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_time	1	1	0	1	7418	7411	288	2852	32	707	11659	8039	42	914	0	30	14	2304	2	4	4	3	3	1
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_time	1	1	1	0	2683	2676	288	2852	32	707	11659	8039	0	0	0	0	8	2304	2	4	4	4	1	2
v006_zurich_city_02_c_0011_s2b4_p600_h941_138_packed_time	1	1	1	1	7394	7387	288	2852	32	707	11659	8039	46	932	0	27	16	2304	2	4	3	4	0	4
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_class	1	0	0	0	2681	2674	288	2778	47	686	7718	5987	0	0	0	0	10	2688	2	4	4	4	1	2
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_class	1	0	0	1	7268	7261	288	2778	47	686	7718	5987	38	878	0	7	16	2688	2	4	4	4	1	2
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_class	1	0	1	0	2680	2673	288	2778	47	686	7718	5987	0	0	0	0	6	2688	2	4	4	4	0	2
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_class	1	0	1	1	7310	7303	288	2778	47	686	7718	5987	39	934	0	21	10	2688	2	4	3	4	2	1
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_time	1	1	0	0	2658	2651	288	2778	47	686	9300	7137	0	0	0	0	6	2528	2	4	4	4	0	2
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_time	1	1	0	1	7305	7298	288	2778	47	686	9300	7137	24	968	0	20	13	2528	2	4	4	4	2	1
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_time	1	1	1	0	2657	2650	288	2778	47	686	9300	7137	0	0	0	0	10	2528	2	4	4	4	0	3
v006_zurich_city_02_c_0011_s2b5_p736_h1152_349_packed_time	1	1	1	1	7233	7226	288	2778	47	686	9300	7137	53	907	0	22	13	2528	2	4	3	4	1	2
empty_source_packed_class	0	0	0	0	904	897	288	0	0	0	0	0	0	0	0	0	0	2016	0	0	0	4	0	0
empty_source_packed_class	0	0	0	1	1070	1063	288	0	0	0	0	0	49	0	0	37	0	2016	0	0	0	4	0	0
empty_source_packed_class	0	0	1	0	904	897	288	0	0	0	0	0	0	0	0	0	0	2016	0	0	0	4	0	0
empty_source_packed_class	0	0	1	1	1055	1048	288	0	0	0	0	0	40	0	0	35	0	2016	0	0	0	4	0	0
empty_source_packed_time	0	1	0	0	764	757	288	0	0	0	0	0	0	0	0	0	0	1024	0	0	0	4	0	0
empty_source_packed_time	0	1	0	1	903	896	288	0	0	0	0	0	42	0	0	13	0	1024	0	0	0	4	0	0
empty_source_packed_time	0	1	1	0	764	757	288	0	0	0	0	0	0	0	0	0	0	1024	0	0	0	4	0	0
empty_source_packed_time	0	1	1	1	893	886	288	0	0	0	0	0	29	0	0	10	0	1024	0	0	0	3	0	0
zero_weights_packed_class	0	0	0	0	2752	2745	288	3072	3072	0	0	0	0	0	0	0	0	2016	0	4	4	4	0	0
zero_weights_packed_class	0	0	0	1	7864	7857	288	3072	3072	0	0	0	51	1013	0	34	0	2016	0	4	3	3	0	0
zero_weights_packed_class	0	0	1	0	2752	2745	288	3072	3072	0	0	0	0	0	0	0	0	2016	0	4	4	4	0	0
zero_weights_packed_class	0	0	1	1	7888	7881	288	3072	3072	0	0	0	30	1033	0	39	0	2016	0	4	3	4	0	0
zero_weights_packed_time	0	1	0	0	2612	2605	288	3072	3072	0	0	0	0	0	0	0	0	1024	0	4	4	4	0	0
zero_weights_packed_time	0	1	0	1	7734	7727	288	3072	3072	0	0	0	39	1058	0	17	0	1024	0	4	3	4	0	0
zero_weights_packed_time	0	1	1	0	2612	2605	288	3072	3072	0	0	0	0	0	0	0	0	1024	0	4	4	4	0	0
zero_weights_packed_time	0	1	1	1	7688	7681	288	3072	3072	0	0	0	41	1024	0	12	0	1024	0	4	3	4	0	0
full_nrv_backpressure_packed_class	0	0	0	0	2766	2759	288	3072	0	768	12288	3072	0	0	0	0	0	2016	2	4	4	4	0	0
full_nrv_backpressure_packed_class	0	0	0	1	7913	7906	288	3072	0	768	12288	3072	47	1002	0	28	36	2016	2	4	3	3	0	4
full_nrv_backpressure_packed_class	0	0	1	0	2754	2747	288	3072	0	768	12288	3072	0	0	0	0	0	2016	1	4	4	4	0	0
full_nrv_backpressure_packed_class	0	0	1	1	7868	7861	288	3072	0	768	12288	3072	33	1071	0	30	8	2016	1	4	3	3	4	0
full_nrv_backpressure_packed_time	0	1	0	0	4891	4884	288	3072	0	768	36864	9216	0	0	8812	0	0	1024	2	4	4	4	0	0
full_nrv_backpressure_packed_time	0	1	0	1	7809	7802	288	3072	0	768	36864	9216	46	1090	0	6	41	1024	2	4	4	3	4	0
full_nrv_backpressure_packed_time	0	1	1	0	2622	2615	288	3072	0	768	36864	9216	0	0	0	0	0	1024	2	4	4	4	0	0
full_nrv_backpressure_packed_time	0	1	1	1	7724	7717	288	3072	0	768	36864	9216	40	982	0	18	34	1024	1	4	3	3	0	4
asymmetric_tail_cancel_packed_class	0	0	0	0	2765	2758	288	3072	3024	16	192	64	0	0	0	0	32	2016	1	4	4	4	4	0
asymmetric_tail_cancel_packed_class	0	0	0	1	7891	7884	288	3072	3024	16	192	64	49	1027	0	29	32	2016	1	4	4	4	4	0
asymmetric_tail_cancel_packed_class	0	0	1	0	2757	2750	288	3072	3024	16	192	64	0	0	0	0	0	2016	1	4	4	4	0	0
asymmetric_tail_cancel_packed_class	0	0	1	1	7882	7875	288	3072	3024	16	192	64	41	1009	0	38	0	2016	1	4	3	3	0	0
asymmetric_tail_cancel_packed_time	0	1	0	0	2625	2618	288	3072	3024	16	192	64	0	0	0	0	32	1024	1	4	4	4	4	0
asymmetric_tail_cancel_packed_time	0	1	0	1	7698	7691	288	3072	3024	16	192	64	44	1022	0	10	32	1024	1	4	4	3	4	0
asymmetric_tail_cancel_packed_time	0	1	1	0	2617	2610	288	3072	3024	16	192	64	0	0	0	0	0	1024	1	4	4	4	0	0
asymmetric_tail_cancel_packed_time	0	1	1	1	7744	7737	288	3072	3024	16	192	64	42	1028	0	14	0	1024	1	4	3	3	0	0
S15_limits_packed_class	0	0	0	0	2757	2750	288	3072	2044	260	4112	1040	0	0	0	0	20	2016	2	4	4	4	0	4
S15_limits_packed_class	0	0	0	1	7865	7858	288	3072	2044	260	4112	1040	47	1054	0	31	20	2016	2	4	3	3	0	4
S15_limits_packed_class	0	0	1	0	2757	2750	288	3072	2044	260	4112	1040	0	0	0	0	20	2016	1	4	4	4	0	4
S15_limits_packed_class	0	0	1	1	7888	7881	288	3072	2044	260	4112	1040	31	1023	0	24	20	2016	1	4	3	4	0	4
S15_limits_packed_time	0	1	0	0	2617	2610	288	3072	2044	260	4112	1040	0	0	0	0	20	1024	2	4	4	4	0	4
S15_limits_packed_time	0	1	0	1	7761	7754	288	3072	2044	260	4112	1040	40	986	0	6	20	1024	2	4	3	4	0	4
S15_limits_packed_time	0	1	1	0	2617	2610	288	3072	2044	260	4112	1040	0	0	0	0	20	1024	1	4	4	4	0	4
S15_limits_packed_time	0	1	1	1	7742	7735	288	3072	2044	260	4112	1040	47	1038	0	5	20	1024	1	4	3	2	0	4
nonunit_theta_rational_packed_class	0	0	0	0	2763	2756	288	3072	440	664	9212	9212	0	0	0	0	4	2016	2	4	4	4	2	2
nonunit_theta_rational_packed_class	0	0	0	1	7935	7928	288	3072	440	664	9212	9212	49	1019	0	34	2	2016	2	4	3	4	0	1
nonunit_theta_rational_packed_class	0	0	1	0	2763	2756	288	3072	440	664	9212	9212	0	0	0	0	4	2016	2	4	4	4	2	2
nonunit_theta_rational_packed_class	0	0	1	1	7878	7871	288	3072	440	664	9212	9212	38	1069	0	29	0	2016	2	4	3	3	0	0
nonunit_theta_rational_packed_time	0	1	0	0	2636	2629	288	3072	440	664	15792	7920	0	0	0	0	12	1024	2	4	4	4	2	2
nonunit_theta_rational_packed_time	0	1	0	1	7732	7725	288	3072	440	664	15792	7920	51	1057	0	8	9	1024	2	4	3	4	4	0
nonunit_theta_rational_packed_time	0	1	1	0	2622	2615	288	3072	440	664	15792	7920	0	0	0	0	0	1024	2	4	4	4	0	0
nonunit_theta_rational_packed_time	0	1	1	1	7753	7746	288	3072	440	664	15792	7920	53	1019	0	19	0	1024	2	4	3	4	0	0
